1 2 A0C1 A0C1reseq A0C2 A0C2reseq e4 e5 e6 3 3reseq 4 5a 6 7 8 9 10 11 12 13 14 15 16 59 e7 e8 e9 17 18 A24C1 A24C1reseq A24C2 A24C2reseq e1 e2 e3
C3_00060W_A|510 4 28 213 781 424 977 2541 448 386 1100 1641 839 362 289 411 497 1574 1786 386 350 474 577 208 340 1845 15 22 15 147 96 421 424 764 354 76 406 933
MSTRG.5787.1|1521|x|C3_00060W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 1 5 31 11 14 79 24 15 44 46 56 46 17 5 4 36 58 6 10 12 28 13 9 65 3 2 2 10 5 7 9 17 15 3 17 25
MSTRG.5788.1|743|x|C3_00100W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 9 15 14 34 77 14 6 24 36 80 7 17 5 12 31 20 1 1 7 9 0 2 1 0 1 1 3 0 11 6 7 3 2 8 25
C3_00090W_A|408 838 4948 39430 132028 49351 110939 130927 23313 19529 64869 91224 70041 37468 19442 11193 12023 40852 58236 7481 8330 10912 14995 5717 7370 42831 2954 2288 3827 2767 1450 9399 10150 15154 6813 11559 45786 67795
C3_00100W_A|699 4 50 161 549 373 799 1931 451 351 617 865 647 187 222 239 238 859 572 89 157 111 562 255 390 948 126 105 162 169 104 425 499 888 398 286 2166 2446
C3_00110C_A|2460 47 311 1132 3788 2140 4981 5887 1485 1331 1944 2727 1626 185 682 1859 1935 1225 1148 1373 2678 1520 1711 928 1259 3269 343 294 302 735 448 1626 1845 3405 1586 883 6280 7178
C3_00120W_A|627 0 2 10 38 15 43 144 25 28 43 39 39 17 12 15 19 38 37 3 4 15 24 19 22 31 9 3 9 13 5 22 12 67 29 17 142 72
C3_00130C_A|1578 50 384 1360 4446 3057 6781 3723 996 788 3070 4040 1822 480 814 2036 2537 2575 2662 2577 4385 2377 5911 3415 4516 10553 370 354 402 2155 1271 5287 5641 9584 4413 1084 8445 9487
C3_00140W_A|600 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 5 1 3 0 2 1
C3_00150W_A|537 0 0 1 2 4 18 11 4 3 3 7 2 0 0 3 4 2 2 1 1 3 2 0 5 0 1 0 1 3 1 12 10 35 17 2 17 65
C3_00160C_A|1434 28 200 755 2420 1551 3202 3055 785 576 1476 1913 1273 167 608 978 1181 964 734 532 1129 705 1109 621 890 2083 166 146 210 370 223 757 811 1590 740 470 3354 3290
MSTRG.5796.1|295|x|C3_00160C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 1 10 19 17 48 18 0 2 1 1 0 0 4 3 0 2 1 0 4 5 2 2 0 7 1 2 1 6 1 11 11 28 15 4 19 83
C3_00170C_A|348 258 1359 5680 18967 6407 14869 6654 1259 1193 4903 6821 4313 3468 5068 2074 2636 4934 8886 4770 5457 8113 16032 6571 8145 21996 921 693 907 4938 1686 8701 9338 7986 3689 3894 14908 10263
MSTRG.5798.1|208|x|C3_00180C_A-T|Ca22chr3A_C_albicans_SC5314|calb 2 11 34 112 76 152 20 7 6 16 24 21 7 21 36 41 27 14 69 114 91 203 113 152 320 9 7 16 77 42 130 147 267 124 14 134 99
C3_00180C_A|1761 0 8 15 63 42 111 117 25 16 267 385 247 47 204 242 280 83 79 28 154 78 32 24 46 58 5 2 3 18 14 64 52 69 39 44 93 197
C3_00190W_A|381 2 19 60 168 159 354 34 16 13 46 45 44 13 58 67 104 47 42 133 300 204 476 317 450 826 9 9 19 196 116 367 370 599 289 37 280 152
MSTRG.5801.1|380|x|C3_00180C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 3 7 16 3 25 4 4 4 7 4 0 0 1 0 0 5 3 0 6 7 25 10 9 31 1 0 0 13 5 28 31 51 25 4 30 57
C3_00200C_A|1095 67 468 2542 7958 3380 7792 18054 4178 4849 7733 10859 5972 1664 4048 3740 4407 9959 5012 2257 3931 2965 5021 2102 3175 11778 1309 1002 1306 1647 1004 4280 4535 7372 3486 3922 22642 24802
C3_00210C_A|633 2 17 120 406 152 324 582 128 135 328 426 202 176 346 124 189 499 617 256 290 352 601 146 248 1242 58 61 55 109 67 258 273 489 224 181 1161 1435
MSTRG.5804.1|530|x|C3_00210C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 39 6 10 2 3 1 3 0 2 1 8 10 5 2 2 5 3 0 16 0 1 1 1 0 4 7 2 2 1 3 11
MSTRG.5805.1|207|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 2 4 0
C3_00220W_A|1893 0 3 10 36 16 34 1465 522 1069 207 296 159 64 198 330 357 398 301 526 1121 701 998 445 618 2019 298 227 267 491 319 1052 1232 2051 898 536 5576 5139
C3_00230C_A|498 0 0 0 1 1 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 0
C3_00240C_A|1356 327 2093 8722 28941 13411 29593 25474 5274 4912 11855 16425 9369 2580 5237 5605 6141 11208 6169 2720 5747 3890 5603 2258 3689 10203 1042 888 1141 1311 767 2729 2911 4699 2165 3313 17613 19053
MSTRG.5808.1|405|x|C3_00240C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 2 3 9 6 0 6 0 0 1 0 1 0 0 2 4 2 0 0 4 0 5 1 1 0 0 0 2 4 3 0 0 2 0 4
C3_00250C_A|1275 169 1232 5951 20169 9285 20344 19480 4147 3520 9806 13592 8669 1836 1975 2293 2600 7134 4674 855 1685 1097 2268 987 1508 4071 773 661 986 569 367 1356 1415 2646 1181 2051 13102 13981
MSTRG.5810.1|344|x|C3_00260C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 1 1 0 3 0 2 1 0 1 1 0 0 0 3 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 3 1 1 3 24
C3_00260C_A|1371 40 255 1185 4124 1864 4134 11682 2867 3711 6163 8172 4550 1029 2076 2538 2878 8108 3879 1713 3177 2093 3960 1767 2809 7934 813 691 842 1073 703 2819 3062 4893 2357 1597 11932 10890
MSTRG.5812.1|287|x|C3_00270C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 0 1 2 0 0 0 5 0 0 1 0 0 0 0 1 0 0 0 0
C3_00270C_A|1497 40 301 1741 5674 1720 3948 8499 1745 1524 2823 3944 2281 747 1050 963 1071 2596 1832 832 1279 1072 1824 700 1072 3165 415 276 428 477 266 952 1055 1468 693 1132 6467 4786
MSTRG.5814.1|371|x|C3_00280C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C3_00280C_A|2625 24 96 589 1935 848 1946 3688 736 601 1068 1482 983 223 437 642 698 1218 846 304 717 427 718 430 519 1543 137 105 160 286 139 824 856 1240 586 296 2769 2861
MSTRG.5816.1|204|x|C3_00290W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 6 11 2 2 1 5 7 0 0 1 2 2 2 0 0 1 3 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0
C3_00290W_A|1326 215 1291 6984 23113 10108 22942 25326 5761 7195 8879 12318 8031 2515 6174 5568 6208 9377 5920 2519 4737 3133 8641 3399 5822 18349 978 689 1073 1573 880 4154 4368 6887 3141 3214 18186 21281
C3_00300W_A|2337 14 77 369 1276 457 1110 2523 578 577 1123 1586 1126 350 475 452 482 1075 968 304 532 418 754 305 445 1582 153 99 154 238 127 719 739 934 414 329 2297 2079
C3_00310C_A|390 26 181 1238 4407 1649 3981 2933 490 630 616 802 523 357 476 268 282 633 647 317 504 570 894 288 453 2372 171 127 168 321 129 847 942 1419 702 722 3382 5551
MSTRG.5820.1|778|x|C3_00310C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 3 9 29 15 24 4 2 3 1 3 0 3 1 0 3 2 7 2 6 6 0 2 0 5 0 0 0 0 0 0 0 6 7 1 4 0
MSTRG.5823.1|418|x|C3_00320W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
C3_00320W_A|765 589 3636 19190 63054 24974 55153 19240 2876 2604 7384 10450 7997 7363 7269 1202 1712 7731 5737 326 1704 1641 1158 371 1021 2083 818 674 1197 294 147 561 596 1078 540 2278 15601 13514
MSTRG.5825.1|412|x|C3_00320W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 1 1 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C3_00330W_A|2091 28 183 764 2522 878 1901 9035 1828 1623 5648 7719 4996 1437 1768 1046 1199 3839 3487 426 1172 895 1997 813 1399 2868 663 443 675 570 322 1129 1125 1442 646 1204 9121 5501
MSTRG.5827.1|306|x|C3_00330W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 4 4 10 34 6 5 12 10 7 0 4 1 4 12 14 3 1 0 1 2 2 0 1 0 1 1 0 2 4 4 1 2 9 35
C3_00340W_A|354 24 132 712 2376 791 1832 6612 1143 1032 1839 2629 2409 1223 630 426 476 2488 3986 497 437 678 1654 599 669 3661 352 212 289 380 175 923 953 1170 570 803 3737 5326
MSTRG.5829.1|380|x|C3_00350W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 3 0 0 7 2 0 7 14 12 6 6 8 5 56 79 7 13 11 2 0 2 3 0 0 2 0 2 1 1 0 0 0 0 0
C3_00350W_A|624 21 145 753 2427 809 1836 4387 828 871 1917 2713 1861 899 1046 693 807 2220 2455 451 673 807 1314 455 667 2640 233 191 248 279 139 470 570 826 364 808 3558 3514
MSTRG.5831.1|2366|x|C3_00360W_A-T|Ca22chr3A_C_albicans_SC5314|calb 2 5 21 76 33 63 445 71 98 160 228 140 89 163 143 156 435 707 770 623 918 737 276 313 1728 116 114 98 238 137 770 783 869 432 389 1204 1300
C3_00360W_A|708 7 38 279 820 323 708 4486 853 793 1188 1662 998 449 582 863 802 4943 3591 273 466 401 871 365 585 2101 65 56 61 167 102 351 353 623 237 228 1083 1170
MSTRG.5835.1|338|x|C3_00360W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 3 1 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 5 1 0 0 0 0 0 2 3
C3_00370C_A|660 4 88 528 1843 695 1618 6845 1200 1241 1508 2039 2072 763 730 449 535 1496 1197 301 512 528 1010 426 630 2813 398 273 379 233 146 796 820 1236 546 1279 6577 7732
MSTRG.5837.1|357|x|C3_00380C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 2 6 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 9
C3_00380C_A|2028 9 68 281 973 306 655 2812 548 561 847 1171 646 301 399 360 424 875 791 338 535 442 1131 420 577 1673 235 191 167 354 163 721 695 883 438 330 2283 2003
C3_00390W_A|813 9 30 83 320 71 155 1076 219 223 376 543 348 162 208 180 184 501 512 100 213 193 197 122 161 256 32 20 30 118 49 175 173 173 79 62 458 286
C3_00400C_A|2850 1 23 90 264 127 253 1223 306 349 310 363 221 105 237 294 333 440 341 301 527 385 2160 959 1496 4890 249 165 271 724 354 1930 2150 2970 1272 415 4242 3406
C3_00410C_A|546 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C3_00420W_A|2574 23 134 751 2691 947 2246 7013 1568 1468 3865 5222 3315 948 1283 1054 1245 3366 2901 518 1085 749 1547 771 1220 2905 454 322 444 569 304 1177 1274 2007 971 767 6257 6035
MSTRG.5843.1|263|x|C3_00420W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 4 4 2 1 1 3 2 4 1 0 0 0 4 0 1 0 1 0 0 0 0 2 0 2 0 1 4 0 0 0 2 0
C3_00430W_A|633 1 4 12 71 36 49 229 70 61 97 155 69 28 60 70 76 177 151 88 172 128 101 54 85 282 24 27 23 72 28 76 80 124 56 42 304 386
MSTRG.5845.1|336|x|C3_00430W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 1 1 4 15 1 0 1 2 5 5 0 1 0 1 3 1 2 0 0 1 0 8 1 0 4 5 1 2 2 4 3 0 7 21
C3_00440W_A|630 0 9 20 90 44 89 311 68 87 165 178 88 48 87 94 114 207 175 134 194 130 134 75 93 345 34 23 24 61 47 132 121 185 78 65 542 595
MSTRG.5847.1|203|x|C3_00450C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 3 0 2 3 3 0 4 3 1 1 1 0 1 0 1 1 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 7 24
C3_00450C_A|1107 118 747 4290 14411 5597 12255 20385 4176 4093 10275 14185 9077 2874 2635 2615 2850 11191 7014 1302 2599 1755 4739 1762 3090 10785 1597 1211 1847 995 565 2666 2803 4508 2077 3663 20624 22696
MSTRG.5849.1|274|x|C3_00450C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 1 1 0 2 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5850.1|453|x|C3_00460W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 7 22 8 7 13 2 0 7 3 4 1 5 3 2 2 3 0 5 1 0 0 0 3 1 2 2 3 2 7 15 7 2 2 26 33
C3_00460W_A|618 391 2488 12162 40783 13709 31163 39593 8208 7983 39736 56954 33769 18292 16728 11508 11921 32513 41593 9620 15544 16637 22142 8104 11636 40377 4465 3398 4536 4172 2035 7911 8325 11568 5504 14272 65528 61056
MSTRG.5852.1|392|x|C3_00460W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 3 3 4 2 0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 4 2 1 1 0 4 24
C3_00470W_A|1434 78 483 2477 8172 3201 7429 9087 1812 1686 4018 5427 3285 1212 1807 1720 1864 4176 3348 1140 1976 1380 2286 907 1501 4253 661 484 607 628 345 1648 1737 2679 1282 1263 8309 8184
C3_00480C_A|792 30 188 1145 3885 1471 3421 13413 3744 7607 2206 2992 2137 1223 2530 2218 2250 9334 7606 1163 1845 1792 4721 1538 2060 10683 931 592 916 1177 691 3442 3593 5563 2694 2481 16505 18617
MSTRG.5855.1|209|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 1 5 3 0 0 0 0 0 0 0 0 0 3 2 0 0 0
MSTRG.5856.1|467|x|C3_00490W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 6 1 4 1 4 0 1 0 1 0 2 8 0 1 1 0 0 3 13 0 0 0 0 0 7 5 3 4 1 2 0
C3_00490W_A|1626 15 102 567 1912 802 1753 5643 1247 1448 1409 1867 1289 548 775 864 1014 1703 1438 723 1084 859 3485 1440 2067 8048 437 383 468 701 382 1813 1996 2972 1386 892 6442 5635
C3_00500C_A|1170 4 32 171 554 256 508 1931 422 417 762 1036 689 215 368 353 370 851 636 278 424 350 945 415 636 2022 127 106 134 296 135 578 603 874 413 315 2335 1827
C3_00510W_A|1086 8 26 121 435 118 281 1703 334 401 544 752 514 273 363 244 303 666 627 205 285 292 606 213 353 1040 143 98 136 228 115 322 331 409 204 338 1665 1145
MSTRG.5860.1|278|x|C3_00510W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 3 3 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 1 0 0 0 0 0 0 5
C3_00520W_A|585 21 134 985 3251 1087 2414 3251 620 590 1463 2183 1408 746 961 587 721 1759 2440 1023 1308 1559 2838 1001 1240 7010 306 243 300 646 266 2040 2116 2473 1220 752 3735 4721
C3_00530C_A|1461 10 90 475 1503 544 1260 3965 810 644 1338 1912 1286 458 606 501 635 1534 1267 343 638 485 1447 522 680 2198 325 268 352 415 210 852 921 1181 531 599 3399 2873
MSTRG.5863.1|885|x|C3_00530C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 2 0 0 2 1 1 1 1 0 0 1 0 0 0 1 0 0 0 11 0 5 1 1 0 0 1 1 15 17 0 0 0 2 17
C3_00540C_A|762 18 55 358 1203 386 950 3199 653 692 847 1259 888 501 647 488 546 1178 1114 324 564 489 1179 380 501 2289 197 142 150 213 120 582 619 733 355 401 2313 2542
MSTRG.5865.1|269|x|C3_00550C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 0 4 0 0 1 0 0 0 0 0 0 4 0 0 1 8 0
C3_00550C_A|2091 30 298 1169 4089 1832 3967 8454 1858 1932 4095 5410 3349 902 1254 1913 1985 4085 2675 689 1829 1058 1663 923 1405 3233 303 194 303 491 312 1374 1364 2098 985 664 6739 6095
MSTRG.5867.1|1647|x|C3_00550C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 4 4 7 9 16 78 16 12 9 21 7 7 2 10 9 15 21 7 9 6 29 13 14 56 4 3 2 22 5 27 31 50 16 12 29 64
C3_00560C_A|1311 23 173 749 2453 808 1947 7874 1646 1410 3357 4532 3381 1037 1500 947 1111 2492 2178 526 1290 1020 2709 1016 2153 5414 550 433 619 493 304 1138 1244 1906 855 1329 8575 6854
MSTRG.5870.1|867|x|C3_00570C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 3 7 1 0 0 1 2 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 1 7 3 4 1 3 4 26
C3_00570C_A|1326 26 170 945 2873 1119 2499 4679 925 691 3429 4811 3211 1271 1022 722 876 2123 3151 1191 1332 1660 2008 916 1045 4411 404 300 341 718 401 1846 1987 2793 1374 851 4183 4797
MSTRG.5872.1|2158|x|C3_00570C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 3 1 4 16 4 1 4 2 5 3 0 2 1 3 1 4 2 0 19 5 0 33 3 1 1 8 1 8 11 18 6 3 4 25
MSTRG.5873.1|521|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5874.1|1863|x|C3_00580W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 3 12 3 1 3 0
C3_00580W_A|3736 19 61 236 845 334 800 3053 696 610 2311 3062 1677 530 557 602 680 2015 2330 1740 1579 1757 3375 1475 1539 5747 540 498 562 2060 1162 3773 3778 6234 2987 1496 7430 5697
C3_00590W_A|567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5876.1|461|x|C3_00580W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5878.1|351|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 0 3 0 0 0 1 0 1 0 4 1 0 0 0
MSTRG.5879.1|262|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C3_00600W_A|1536 0 3 28 76 19 68 121 29 52 41 55 24 24 17 13 10 45 60 7 10 4 79 31 31 143 1 1 2 21 15 22 29 47 24 6 34 6
MSTRG.5881.1|626|x|C3_00600W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 1 3 1 0 1 0 2 5 0 0 0 2 1 0 0 0 0 2 1 9 0 0 0 0 1 5 2 5 4 0 0 0
C3_00610W_A|729 10 70 301 1086 303 642 3002 532 496 1026 1407 1012 647 626 411 483 1126 1351 480 650 721 1214 522 587 2386 160 136 130 371 144 531 593 773 358 323 1469 1215
C3_00620C_A|416 12 63 261 839 205 429 6081 1250 1782 1383 1974 1271 708 594 423 440 1989 3615 1168 1223 1423 8649 3013 3685 8638 441 362 410 1458 593 1562 1683 1247 596 1014 5058 2080
MSTRG.5884.1|402|x|C3_00620C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 2 7 4 9 17 2 3 4 0 2 3 1 0 0 2 5 4 6 3 24 21 29 79 1 1 3 15 3 23 31 25 15 3 22 6
C3_00630W_A|3708 40 311 1195 4050 1513 3414 5308 1196 1112 3394 4514 2276 792 1164 1494 1504 2843 2553 1258 2173 1517 4908 2154 3194 9249 448 409 381 1535 816 2919 3057 3925 1894 673 4963 3802
MSTRG.5886.1|956|x|C3_00630W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 1 1 1 2 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 0 2 0
C3_00640W_A|1485 62 367 1644 5529 1738 4028 6190 1262 982 5885 8199 4871 2723 5774 3635 4073 6035 4979 1571 3442 3044 3168 1076 1782 5631 976 800 827 946 493 2022 2108 2603 1310 2857 9092 10023
MSTRG.5889.1|1468|x|C3_00640W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 4 9 0 7 11 0 0 10 10 8 5 8 2 3 9 11 2 12 8 10 8 3 21 0 1 0 5 2 9 7 9 4 3 12 0
MSTRG.5892.1|743|x|C3_00650W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 1 33 3 13 8 2 1 0 0 1 2 4 6 3 7 1 33 5 0 39 8 4 0 15 6 19 30 54 29 4 25 63
C3_00650W_A|1530 6 52 184 710 183 441 188 35 33 429 558 347 221 303 169 220 245 309 77 355 249 413 173 202 807 30 25 14 460 193 673 680 900 438 64 585 449
MSTRG.5894.1|354|x|C3_00660W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 2 1 6 67 19 13 9 12 9 1 1 3 1 10 8 6 6 5 33 19 8 78 2 5 1 25 12 28 28 42 15 4 15 24
C3_00660W_A|3660 22 97 353 1143 341 716 3017 573 519 2112 3039 1830 524 587 500 685 1388 1446 233 570 376 726 354 363 1096 143 143 132 441 210 706 725 883 377 243 1613 1272
MSTRG.5897.1|405|x|C3_00680C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 1 10 0 0 1 2 4 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0
C3_00670C_A|2140 14 101 407 1487 582 1271 4119 834 658 1918 2499 1535 407 460 575 566 1598 1627 381 803 513 1254 642 942 2397 215 197 276 451 237 847 865 1265 625 473 4011 3245
C3_00680C_A|444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5898.1|270|x|C3_00670C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
MSTRG.5899.1|1840|x|C3_00670C_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 7 20 53 21 43 749 160 280 80 131 78 61 80 91 90 172 230 141 140 177 436 174 213 592 29 18 24 108 58 255 291 319 160 69 467 545
C3_00690C_A|1344 5 44 204 756 248 553 2705 520 469 996 1404 776 253 344 333 381 828 619 295 479 366 904 387 487 1714 187 144 232 232 120 455 540 873 395 460 2970 2619
C3_00700W_A|4041 7 41 135 455 215 448 1388 281 255 824 1193 618 190 263 388 362 779 640 196 290 182 588 264 350 1138 74 73 60 209 94 525 542 626 311 109 828 885
MSTRG.5902.1|384|x|C3_00700W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 1 0 0 9 3 5 0 0 0 1 0 0 0 1 1 9 20 15 13 8 8 16 0 2 0 14 6 13 7 20 15 1 10 26
MSTRG.5904.1|404|x|C3_00710W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 8 2 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 1 4 2 2 12 0
C3_00710W_A|3318 82 547 2343 7385 2800 6366 6459 1408 1302 5340 7201 4608 1786 4650 3916 4543 5695 5531 2873 6062 4491 6450 3113 4965 11018 1199 1004 837 2571 1398 5196 5357 7333 3350 1787 12428 10847
MSTRG.5906.1|4240|x|C3_00710W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 4 5 13 1 7 61 11 13 16 45 10 12 4 4 4 21 27 25 29 27 51 29 14 103 7 2 2 34 16 74 106 97 56 11 31 113
MSTRG.5908.1|367|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5909.1|213|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5910.1|2884|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 2 0 0 0 5 1 5 2 6 4 0 0 0 5 3 2 0 0 0 6 6 3 12 0 2 0 0 1 1 0 3 1 0 2 60
MSTRG.5911.1|980|u|NA|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 0 0 4 1 0 1 4 0 0 0 1 1 2 5 1 0 2 1 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0
MSTRG.5912.1|524|x|C3_00720W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 4 0 2 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 4 4 2 0 3 10
C3_00720W_A|2688 189 1073 3481 11584 5743 12732 13169 3508 2879 20988 28570 15252 4142 4463 6462 5172 13913 20881 3301 6207 4191 8065 4598 5677 12553 1659 1323 2010 5373 2739 10250 10592 15777 7248 3320 27669 23332
MSTRG.5914.1|952|x|C3_00720W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 1 0 2 1 9 12 0 2 1 3 2 0 0 0 0 0 0 0 1 0 3 0 0 0 2 0 1 3 0 4 8 7 6 3 22 119
MSTRG.5915.1|560|x|C3_00730W_A-T|Ca22chr3A_C_albicans_SC5314|calb 0 0 0 0 2 2 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 1 0 1
C3_00730W_A|2352 28 272 938 3062 1261 2973 3490 835 557 3983 5249 2954 886 665 1153 1164 2821 3096 527 1005 628 1748 929 1176 2925 256 224 240 827 448 1829 1925 2718 1295 409 3214 3146
C3_00740W_A|462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
