# File name: C_albicans_SC5314_C_auris_B8441_orthologs.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r90
# Date created: Fri Aug 23 04:39:02 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C2_09060C_A	ASN1	CAL0000188342	B9J08_002429		CAL0000216591
CR_02190C_A	SEF1	CAL0000189760	B9J08_001107		CAL0000226835
CR_09890C_A	BET2	CAL0000186043	B9J08_001668		CAL0000216421
C7_01330C_A	GCN2	CAL0000185174	B9J08_005412		CAL0000216425
CR_08200C_A		CAL0000183742	B9J08_004913		CAL0000216505
C5_04920C_A		CAL0000181614	B9J08_004321		CAL0000216605
C4_02670W_A		CAL0000196120	B9J08_001790		CAL0000216433
C1_10940C_A	ERP5	CAL0000201082	B9J08_000243		CAL0000216613
C4_01770W_A	POL30	CAL0000174634	B9J08_005241		CAL0000216533
C3_03260W_A		CAL0000193340	B9J08_002347		CAL0000216621
C5_02320C_A		CAL0000199415	B9J08_001544		CAL0000216055
C3_07220C_A	PRO2	CAL0000189309	B9J08_004764		CAL0000216549
C6_02170C_A	SWD3	CAL0000190787	B9J08_000550		CAL0000216551
C5_05340W_A		CAL0000180910	B9J08_001473		CAL0000216185
C4_00410W_A		CAL0000184680	B9J08_002835		CAL0000216407
CR_10580W_A	PRO1	CAL0000178490	B9J08_004124		CAL0000216585
C2_00540W_A		CAL0000184585	B9J08_002187		CAL0000216801
C3_06500W_A	UBA1	CAL0000188696	B9J08_002390		CAL0000216807
C1_11310C_A	PSP1	CAL0000196960	B9J08_005260		CAL0000216673
C4_01680W_A	TOA2	CAL0000177370	B9J08_005236		CAL0000216743
C4_07030W_A	MET16	CAL0000192901	B9J08_005307		CAL0000216859
C1_11600W_A		CAL0000183918	B9J08_001577		CAL0000216631
CR_05910W_A		CAL0000182458	B9J08_001444		CAL0000216633
C7_00690W_A	NOP15	CAL0000196813	B9J08_004740		CAL0000216619
C3_01250W_A	PMC1	CAL0000196416	B9J08_000175		CAL0000216861
C5_04590C_A	RPL43A	CAL0000185522	B9J08_004391		CAL0000216765
CR_00660W_A		CAL0000199679	B9J08_001019		CAL0000216875
C1_04390C_A	NOP4	CAL0000184653	B9J08_003382		CAL0000216649
C1_11680C_A		CAL0000175803	B9J08_000968		CAL0000216653
C2_01730W_A		CAL0000192334	B9J08_000155		CAL0000216785
C5_05290C_A	MRP2	CAL0000191348	B9J08_005279		CAL0000216787
CR_03990C_A	GCD1	CAL0000190232	B9J08_001841		CAL0000216989
CR_10160W_A	FAA4	CAL0000190605	B9J08_002763		CAL0000217007
C7_00260C_A		CAL0000199507	B9J08_002252		CAL0000217027
C6_01430C_A	FRP6	CAL0000190637	B9J08_002951		CAL0000218745
C5_04050W_A		CAL0000195878	B9J08_003113		CAL0000218803
C1_08520C_A		CAL0000197867	B9J08_000293		CAL0000217923
C1_12450C_A	IRA2	CAL0000177461	B9J08_003924		CAL0000218765
C7_00320C_A	PMR1	CAL0000190296	B9J08_000837		CAL0000218001
C3_05140C_A		CAL0000185296	B9J08_003098		CAL0000218797
C1_08170C_A	BUL1	CAL0000184571	B9J08_001738		CAL0000217413
C1_07070C_A	DHH1	CAL0000182112	B9J08_002289		CAL0000217271
C4_01750C_A	FBA1	CAL0000186998	B9J08_005239		CAL0000217421
C1_02410C_A		CAL0000177551	B9J08_000962		CAL0000217487
C2_01910W_A		CAL0000197806	B9J08_004859		CAL0000217235
C1_03370W_A		CAL0000195952	B9J08_000774		CAL0000217361
C1_05360C_A		CAL0000193291	B9J08_004523		CAL0000217437
C5_00740W_A	CTF8	CAL0000178874	B9J08_002335		CAL0000217249
C1_12830C_A		CAL0000198790	B9J08_003939		CAL0000217451
CR_07020W_A		CAL0000194655	B9J08_005125		CAL0000217389
C2_10770W_A	RPC11	CAL0000198439	B9J08_001495		CAL0000217523
C2_09400C_A	ERG24	CAL0000185086	B9J08_003026		CAL0000217543
C6_01010W_A	KAR5	CAL0000183563	B9J08_001115		CAL0000217557
C4_04920W_A		CAL0000176786	B9J08_002721		CAL0000217587
C1_05060W_A	REI1	CAL0000177865	B9J08_003877		CAL0000217589
C2_08710W_A	PEX17	CAL0000187303	B9J08_005193		CAL0000217595
CR_04630C_A	DIT2	CAL0000182857	B9J08_004885		CAL0000217393
CR_07660C_A		CAL0000180632	B9J08_000464		CAL0000219439
C4_01660W_A		CAL0000182929	B9J08_005234		CAL0000219443
C3_01550C_A	TOS1	CAL0000174850	B9J08_001002		CAL0000219771
C7_03130C_A	DFR1	CAL0000177250	B9J08_000856		CAL0000219921
CR_04290W_A	HAP31	CAL0000175007	B9J08_005483		CAL0000220073
C2_09700W_A	YEA4	CAL0000194268	B9J08_003833		CAL0000220115
C4_05320W_A	LYS1	CAL0000179135	B9J08_003205		CAL0000220139
C5_03110C_A		CAL0000180578	B9J08_004070		CAL0000217639
CR_01540W_A	SAS3	CAL0000182993	B9J08_003505		CAL0000217643
C1_08820C_A		CAL0000178920	B9J08_001723		CAL0000217679
C1_03280W_A		CAL0000192841	B9J08_000638		CAL0000217693
C3_03400C_A	VTI1	CAL0000188283	B9J08_001323		CAL0000217703
C1_05640C_A	FAL1	CAL0000189056	B9J08_005085		CAL0000220157
C2_02840C_A		CAL0000186581	B9J08_004968		CAL0000220161
C2_01510C_A		CAL0000197395	B9J08_003864		CAL0000220185
C7_02690C_A	EPT1	CAL0000195072	B9J08_001036		CAL0000220211
C2_02770W_A		CAL0000187516	B9J08_003080		CAL0000220245
C3_00620C_A		CAL0000175914	B9J08_002862		CAL0000220271
C5_01920C_A		CAL0000199572	B9J08_004812		CAL0000220283
C1_09510W_A	YTM1	CAL0000176486	B9J08_005529		CAL0000220315
C2_05540C_A		CAL0000189398	B9J08_001166		CAL0000220321
CR_05450C_A		CAL0000192248	B9J08_005100		CAL0000220325
CR_06690C_A		CAL0000174269	B9J08_005135		CAL0000220341
C6_01040C_A		CAL0000190791	B9J08_001796		CAL0000220347
CR_01360W_A		CAL0000195269	B9J08_002472		CAL0000218699
C7_02300W_A	YPS7	CAL0000201831	B9J08_002149		CAL0000218707
C1_09440W_A		CAL0000198968	B9J08_005523		CAL0000218711
C6_00890W_A		CAL0000189188	B9J08_003439		CAL0000220393
CR_03620C_A		CAL0000182841	B9J08_004849		CAL0000220399
CR_08170C_A		CAL0000196930	B9J08_003846		CAL0000220407
C3_07770C_A		CAL0000193268	B9J08_000970		CAL0000220409
C1_04560W_A		CAL0000175041	B9J08_003378		CAL0000220413
C3_05220W_A	CDR1	CAL0000186516	B9J08_000164		CAL0000220423
C1_03010W_A	RPP1A	CAL0000178222	B9J08_003250		CAL0000220429
CR_00480W_A	MRPL6	CAL0000184142	B9J08_000698		CAL0000220891
C1_12030W_A	SER33	CAL0000190003	B9J08_000320		CAL0000220901
C4_00750C_A		CAL0000175624	B9J08_004415		CAL0000220925
C1_03100W_A		CAL0000192091	B9J08_004957		CAL0000220941
CR_03820C_A	ULP2	CAL0000188490	B9J08_004848		CAL0000220981
C1_03610C_A	IMP1	CAL0000180500	B9J08_003674		CAL0000220989
C2_06540C_A	SPF1	CAL0000181174	B9J08_002823		CAL0000220993
C6_01690W_A	ACF2	CAL0000196081	B9J08_004532		CAL0000221009
C7_00130W_A		CAL0000189908	B9J08_000898		CAL0000221013
C3_02280C_A	GFA1	CAL0000176261	B9J08_002632		CAL0000221039
C4_03940C_A	PYC2	CAL0000188525	B9J08_005201		CAL0000221049
C7_03710C_A	PLC1	CAL0000200735	B9J08_003873		CAL0000221057
C5_04490C_A	CAR1	CAL0000174553	B9J08_004292		CAL0000221061
C7_03330C_A	SHM1	CAL0000174200	B9J08_003791		CAL0000221143
C5_05280C_A	SDH4	CAL0000197273	B9J08_003977		CAL0000223107
C1_01770W_A	MAK32	CAL0000179624	B9J08_004663		CAL0000223809
C1_12340C_A	MRPS9	CAL0000191081	B9J08_003935		CAL0000224595
CR_09360W_A	FCY24	CAL0000180870	B9J08_004513		CAL0000224603
C6_03080C_A	ADO1	CAL0000187548	B9J08_003665		CAL0000224625
CR_08980C_A		CAL0000175249	B9J08_000985		CAL0000224633
C6_03230W_A	ARG3	CAL0000176534	B9J08_004798		CAL0000224639
C4_04280C_A		CAL0000197623	B9J08_000297		CAL0000224689
C4_06430C_A		CAL0000198513	B9J08_000924		CAL0000224729
C4_00040W_A	CNH1	CAL0000197900	B9J08_003518		CAL0000224805
CR_08630W_A	CDC23	CAL0000200782	B9J08_004910		CAL0000224841
C5_02490C_A	TIF5	CAL0000179125	B9J08_004385		CAL0000224851
C2_02020W_A		CAL0000182125	B9J08_002184		CAL0000224917
C4_05690W_A	SEC23	CAL0000192101	B9J08_001653		CAL0000224961
C5_02830W_A		CAL0000190743	B9J08_000527		CAL0000224981
C1_11790W_A		CAL0000197535	B9J08_001238		CAL0000225011
C3_00340W_A		CAL0000189259	B9J08_002311		CAL0000225013
C2_06440C_A		CAL0000194068	B9J08_000072		CAL0000225023
C7_01800C_A	PFK2	CAL0000190617	B9J08_004928		CAL0000225045
C1_00880W_A		CAL0000193159	B9J08_004937		CAL0000218847
C2_00510W_A		CAL0000189154	B9J08_002189		CAL0000218849
C7_00980W_A	PHM5	CAL0000182615	B9J08_002325		CAL0000218915
C2_05190W_A	CDC21	CAL0000189182	B9J08_005018		CAL0000218927
CR_10720W_A	HMI1	CAL0000191199	B9J08_001260		CAL0000218947
C2_05000C_A	MRPL10	CAL0000178174	B9J08_005005		CAL0000218961
C6_00090W_A		CAL0000193085	B9J08_002733		CAL0000218969
CR_09750C_A		CAL0000176251	B9J08_003689		CAL0000218975
C2_04400W_A		CAL0000189141	B9J08_003723		CAL0000218981
C4_05440C_A		CAL0000174733	B9J08_003214		CAL0000219007
C1_09980C_A		CAL0000193690	B9J08_001582		CAL0000219053
CR_03450W_A	HXT5	CAL0000200935	B9J08_002646		CAL0000219073
CR_02700W_A		CAL0000198238	B9J08_004079		CAL0000219095
C7_02870C_A	TAF19	CAL0000183625	B9J08_000679		CAL0000219111
C1_10950C_A		CAL0000187360	B9J08_000248		CAL0000219123
C7_00020C_A	RVS161	CAL0000193274	B9J08_001340		CAL0000219129
C4_01130C_A		CAL0000188082	B9J08_003588		CAL0000219145
C1_10020W_A	SFU1	CAL0000194032	B9J08_000341		CAL0000219151
CR_02620C_A		CAL0000189366	B9J08_004091		CAL0000219165
C3_04180W_A	KRE9	CAL0000200786	B9J08_000049		CAL0000219175
CR_07730W_A	HGT14	CAL0000194719	B9J08_004264		CAL0000219213
C5_02200W_A		CAL0000197212	B9J08_002552		CAL0000219217
C1_08790W_A	TPO3	CAL0000176249	B9J08_004775		CAL0000219221
C2_02690W_A	SER2	CAL0000193772	B9J08_003084		CAL0000219225
C3_05340W_A	DIE2	CAL0000181033	B9J08_000373		CAL0000219411
C2_00190C_A		CAL0000182003	B9J08_000134		CAL0000225061
C5_02370C_A		CAL0000194103	B9J08_002723		CAL0000225065
C3_02220W_A	CAP1	CAL0000176112	B9J08_005344		CAL0000226287
C3_07280C_A		CAL0000189788	B9J08_004770		CAL0000227213
C4_07040W_A		CAL0000201661	B9J08_001364		CAL0000227217
C1_03730C_A	MNS1	CAL0000181785	B9J08_003228		CAL0000219243
C6_03410C_A	APA2	CAL0000175815	B9J08_001429		CAL0000220965
C3_05710W_A	RCT1	CAL0000178441	B9J08_002643		CAL0000225085
C4_06210C_A		CAL0000184634	B9J08_000910		CAL0000225095
C5_02990W_A		CAL0000190609	B9J08_001088		CAL0000225099
C3_06450W_A	GLG2	CAL0000196029	B9J08_004833		CAL0000225129
CR_06230W_A		CAL0000201681	B9J08_000804		CAL0000225153
C7_03400C_A		CAL0000198236	B9J08_003795		CAL0000225207
C2_04580W_A	ERG20	CAL0000188232	B9J08_003125		CAL0000225261
CR_10370W_A	HCR1	CAL0000183414	B9J08_000545		CAL0000225269
C1_06910C_A		CAL0000179377	B9J08_003395		CAL0000225271
C3_06440W_A		CAL0000196266	B9J08_002570		CAL0000225365
C1_10730W_A		CAL0000193111	B9J08_001933		CAL0000225369
C2_01750C_A		CAL0000185912	B9J08_000157		CAL0000225379
C5_03310C_A	PCL1	CAL0000177342	B9J08_002932		CAL0000225385
C1_09400C_A	FTH1	CAL0000186938	B9J08_000170		CAL0000225689
C4_05910C_A	VPS11	CAL0000200561	B9J08_002313		CAL0000227597
C1_13360C_A	RMP1	CAL0000183920	B9J08_003963		CAL0000227697
C4_05960W_A	NIF3	CAL0000177324	B9J08_000743		CAL0000216069
C1_08430W_A	CAF16	CAL0000179885	B9J08_000818		CAL0000216113
C6_00110C_A		CAL0000185865	B9J08_002731		CAL0000216117
C2_08790W_A	JEM1	CAL0000174058	B9J08_005185		CAL0000216119
C5_00750C_A		CAL0000174014	B9J08_002336		CAL0000216123
C1_02660C_A	MGM101	CAL0000189590	B9J08_000051		CAL0000216133
C2_10630W_A		CAL0000192929	B9J08_003581		CAL0000216135
C2_08960C_A		CAL0000201922	B9J08_002432		CAL0000216161
C6_01780C_A		CAL0000182549	B9J08_005375		CAL0000216167
C2_05740W_A	SPO7	CAL0000190675	B9J08_000875		CAL0000216175
C7_02960C_A		CAL0000182460	B9J08_000738		CAL0000216187
C1_12800W_A		CAL0000191420	B9J08_003701		CAL0000216237
C1_11650W_A	EGD1	CAL0000174763	B9J08_002291		CAL0000216283
C3_04200W_A	AFP99	CAL0000194495	B9J08_002587		CAL0000216399
C2_02510W_A	PRS1	CAL0000176742	B9J08_001772		CAL0000217735
C1_02020W_A		CAL0000176281	B9J08_000496		CAL0000217745
C3_00760W_A	ERG4	CAL0000199354	B9J08_002852		CAL0000217753
C3_05370C_A	YST1	CAL0000191976	B9J08_005324		CAL0000217757
C3_07850W_A		CAL0000193330	B9J08_005162		CAL0000217761
C2_02540W_A		CAL0000188474	B9J08_001769		CAL0000217817
CR_07890W_A	EFG1	CAL0000201973	B9J08_002834		CAL0000217821
C1_12440W_A		CAL0000191259	B9J08_003923		CAL0000217829
C3_04220C_A	URK1	CAL0000196768	B9J08_001715		CAL0000217851
C4_05580C_A		CAL0000176097	B9J08_003223		CAL0000217861
C7_03660C_A		CAL0000176548	B9J08_002115		CAL0000217873
C1_10340W_A		CAL0000198270	B9J08_004772		CAL0000217883
C2_01980C_A	SRD1	CAL0000196904	B9J08_002180		CAL0000217889
C3_05010C_A		CAL0000191874	B9J08_004463		CAL0000217943
C3_00490W_A	ESA1	CAL0000179231	B9J08_003814		CAL0000217967
C5_02220C_A		CAL0000190615	B9J08_002554		CAL0000218009
C2_06120C_A		CAL0000187277	B9J08_001218		CAL0000218015
C5_04890C_A		CAL0000179867	B9J08_004318		CAL0000218053
C3_04560W_A	MAK21	CAL0000182474	B9J08_000286		CAL0000218073
C1_07970C_A	IRE1	CAL0000181249	B9J08_001611		CAL0000218109
CR_08100C_A	RIO2	CAL0000193362	B9J08_000103		CAL0000218141
CR_02530W_A	DBP2	CAL0000194603	B9J08_004170		CAL0000218165
C1_03310W_A		CAL0000201344	B9J08_000781		CAL0000218179
C4_04830W_A	DCR1	CAL0000189883	B9J08_002318		CAL0000218203
C2_07450C_A	RCL1	CAL0000188003	B9J08_001139		CAL0000218205
C2_02180W_A		CAL0000179002	B9J08_001185		CAL0000218211
C4_06650W_A		CAL0000176726	B9J08_001808		CAL0000218227
CR_02160W_A	UGT51C1	CAL0000189652	B9J08_002707		CAL0000218229
CR_07390C_A	MRPL8	CAL0000182649	B9J08_000565		CAL0000218233
C6_02090C_A		CAL0000175171	B9J08_000555		CAL0000218271
C1_07830C_A		CAL0000174681	B9J08_001601		CAL0000218287
C1_00580W_A		CAL0000186327	B9J08_003237		CAL0000218291
C3_02590W_A	APL5	CAL0000194310	B9J08_005049		CAL0000218323
C1_12200W_A	MCD4	CAL0000201697	B9J08_004046		CAL0000218425
C2_04590C_A	QCR8	CAL0000201360	B9J08_003126		CAL0000218459
C3_00310C_A		CAL0000196095	B9J08_001083		CAL0000218507
C1_07470C_A		CAL0000186343	B9J08_003156		CAL0000218527
C5_03060C_A	TNA1	CAL0000180798	B9J08_005345		CAL0000218553
C2_03950W_A		CAL0000201358	B9J08_000728		CAL0000218557
C1_04370C_A		CAL0000192931	B9J08_003384		CAL0000218599
C2_04810W_A	HIS3	CAL0000187142	B9J08_002944		CAL0000218627
C3_00610W_A		CAL0000183668	B9J08_000176		CAL0000218631
C2_09430W_A	RPL3	CAL0000201023	B9J08_003023		CAL0000218637
C1_03660W_A		CAL0000184379	B9J08_004667		CAL0000218667
C3_05830W_A	KRE6	CAL0000200145	B9J08_002262		CAL0000218681
C6_01560W_A		CAL0000194149	B9J08_005390		CAL0000221383
C6_01210W_A		CAL0000185625	B9J08_005400		CAL0000221391
C2_10620W_A	RPS4A	CAL0000195247	B9J08_001686		CAL0000221399
C2_07010W_A		CAL0000191478	B9J08_002804		CAL0000221409
CR_06980W_A		CAL0000201914	B9J08_001690		CAL0000223037
C5_03710C_A		CAL0000196528	B9J08_000349		CAL0000223041
C4_05570C_A	TUB4	CAL0000188779	B9J08_003220		CAL0000223061
C1_01690C_A	LSC1	CAL0000179127	B9J08_000650		CAL0000223073
C5_04900C_A		CAL0000184764	B9J08_004319		CAL0000221417
C7_02840C_A	ERG5	CAL0000198637	B9J08_002349		CAL0000221427
C3_01020W_A		CAL0000186010	B9J08_002843		CAL0000221433
C3_07270C_A	UBI4	CAL0000186339	B9J08_004769		CAL0000221501
C3_05390C_A	GPI1	CAL0000200471	B9J08_005320		CAL0000223101
C3_03110W_A		CAL0000189539	B9J08_000220		CAL0000223129
C1_12080W_A	LCB4	CAL0000174172	B9J08_000324		CAL0000223145
CR_04910W_A	CDC43	CAL0000180354	B9J08_001965		CAL0000223159
C1_00780C_A	HGC1	CAL0000184055	B9J08_004946		CAL0000221515
C4_04430W_A	MRP8	CAL0000198349	B9J08_005149		CAL0000221583
C1_00070W_A	MVD	CAL0000181620	B9J08_001266		CAL0000221587
C2_09310C_A		CAL0000201078	B9J08_003030		CAL0000223189
C2_02230C_A		CAL0000201896	B9J08_001182		CAL0000223193
CR_03140C_A	SYN8	CAL0000199850	B9J08_000360		CAL0000223199
C7_01880C_A		CAL0000191717	B9J08_004735		CAL0000221617
C3_04510W_A		CAL0000196880	B9J08_003952		CAL0000221631
C6_02550W_A		CAL0000179889	B9J08_001637		CAL0000221635
C3_01680C_A		CAL0000197826	B9J08_001895		CAL0000221641
C3_03860W_A		CAL0000194768	B9J08_002352		CAL0000221653
C2_01430W_A	APT1	CAL0000192887	B9J08_003860		CAL0000221659
C2_06240W_A	SMD2	CAL0000180090	B9J08_003101		CAL0000221701
C1_04510W_A		CAL0000190911	B9J08_003375		CAL0000221711
C1_03860C_A	BNI4	CAL0000191087	B9J08_004985		CAL0000221721
C2_10450W_A	NCE4	CAL0000177597	B9J08_003741		CAL0000221765
C3_02550C_A	DCG1	CAL0000196442	B9J08_000411		CAL0000221809
C2_04650C_A	RPB4	CAL0000176099	B9J08_003131		CAL0000221815
C1_13730C_A	DIM1	CAL0000196194	B9J08_002508		CAL0000221823
C3_05300C_A		CAL0000199671	B9J08_004440		CAL0000221855
C2_03690C_A	MNN42	CAL0000176896	B9J08_000139		CAL0000221863
C2_09920W_A		CAL0000184716	B9J08_005195		CAL0000221875
C7_01320W_A		CAL0000190964	B9J08_005413		CAL0000221889
C4_04100C_A	ECM1	CAL0000196644	B9J08_004207		CAL0000221897
CR_09410W_A		CAL0000185383	B9J08_001664		CAL0000221915
C3_02420C_A		CAL0000193243	B9J08_001165		CAL0000219277
C4_04120C_A		CAL0000174174	B9J08_001378		CAL0000219305
C5_00420C_A	MRP17	CAL0000191831	B9J08_005312		CAL0000219309
C1_06130C_A	HAC1	CAL0000199458	B9J08_001826		CAL0000219313
C5_02210W_A		CAL0000191197	B9J08_002553		CAL0000219339
C1_06390W_A		CAL0000198739	B9J08_000598		CAL0000219351
C6_03590C_A		CAL0000178786	B9J08_003898		CAL0000221963
C2_03910C_A		CAL0000199621	B9J08_002452		CAL0000221981
C2_10430C_A	FGR29	CAL0000180730	B9J08_003739		CAL0000221991
C2_08550C_A	MSU1	CAL0000186154	B9J08_005521		CAL0000222019
CR_07240C_A	CLG1	CAL0000194840	B9J08_002220		CAL0000219383
C3_07030C_A		CAL0000180687	B9J08_004750		CAL0000219399
C1_13110C_A	CHS3	CAL0000195982	B9J08_004150		CAL0000219407
C6_02770W_A	MRT4	CAL0000181896	B9J08_001434		CAL0000219433
C6_01050W_A		CAL0000176983	B9J08_001797		CAL0000219445
C1_14160W_A		CAL0000185918	B9J08_003320		CAL0000219459
C7_03780C_A		CAL0000174146	B9J08_002692		CAL0000219461
CR_03710C_A		CAL0000177559	B9J08_005227		CAL0000222047
C3_07320W_A	MDS3	CAL0000193099	B9J08_003567		CAL0000222051
C4_03850W_A		CAL0000189064	B9J08_000310		CAL0000222057
C2_03620W_A	IFK2	CAL0000179616	B9J08_003709		CAL0000222069
C1_01740W_A	CTN1	CAL0000182064	B9J08_003231		CAL0000219499
C7_03340C_A	PRR2	CAL0000181633	B9J08_003792		CAL0000219521
C1_08510W_A	EAF6	CAL0000192577	B9J08_000294		CAL0000219523
CR_09320C_A	PHO88	CAL0000189279	B9J08_004510		CAL0000219525
C5_05450C_A	MUM2	CAL0000175753	B9J08_000784		CAL0000219537
C6_03930W_A	OPT8	CAL0000175124	B9J08_003659		CAL0000219553
C4_01200C_A	AAT22	CAL0000188482	B9J08_000766		CAL0000222131
C5_02470W_A	INT1	CAL0000198939	B9J08_004383		CAL0000222163
C1_10770W_A	SFT2	CAL0000197615	B9J08_000239		CAL0000222167
C1_13290W_A		CAL0000180245	B9J08_002040		CAL0000222169
C1_09780C_A		CAL0000198623	B9J08_004052		CAL0000222203
C3_06040W_A		CAL0000176267	B9J08_001914		CAL0000222213
CR_02640W_A	RFG1	CAL0000179598	B9J08_004089		CAL0000222231
C2_10590W_A	GAL4	CAL0000174381	B9J08_003585		CAL0000219595
C2_03310C_A	VPS20	CAL0000174239	B9J08_004371		CAL0000219605
CR_04500C_A		CAL0000187380	B9J08_003192		CAL0000219607
CR_06930W_A		CAL0000181655	B9J08_001041		CAL0000219611
C3_02620C_A		CAL0000200002	B9J08_000413		CAL0000219637
C2_01160W_A		CAL0000191452	B9J08_002822		CAL0000219667
CR_00090C_A		CAL0000190190	B9J08_002678		CAL0000222291
CR_04300W_A		CAL0000192993	B9J08_005481		CAL0000222295
C6_00950C_A	TOP1	CAL0000177495	B9J08_003421		CAL0000222311
C2_00330C_A	HIR1	CAL0000197832	B9J08_001649		CAL0000222317
C2_07090C_A	OLE2	CAL0000198173	B9J08_002798		CAL0000222331
C1_01780C_A	HOL4	CAL0000187281	B9J08_004662		CAL0000219691
C1_12140W_A		CAL0000181678	B9J08_001721		CAL0000219707
CR_04490C_A		CAL0000191043	B9J08_003136		CAL0000219715
CR_09120C_A	TUB1	CAL0000195890	B9J08_004499		CAL0000219757
C1_00380C_A	NAA25	CAL0000175749	B9J08_002174		CAL0000219769
C6_02780C_A	MIF2	CAL0000174202	B9J08_001435		CAL0000222377
C2_09730C_A	IPK2	CAL0000178674	B9J08_002400		CAL0000222385
C1_06540C_A		CAL0000184319	B9J08_000612		CAL0000222413
C1_14150C_A	PAM16	CAL0000176330	B9J08_003321		CAL0000222449
C6_00920W_A		CAL0000196544	B9J08_003418		CAL0000219865
C5_00390C_A		CAL0000199693	B9J08_001313		CAL0000219867
C1_01480C_A	RPS21	CAL0000191073	B9J08_004990		CAL0000219881
C6_00340C_A		CAL0000183469	B9J08_000523		CAL0000219891
CR_06000W_A	SOK1	CAL0000196944	B9J08_000662		CAL0000222471
CR_05460W_A		CAL0000183045	B9J08_005102		CAL0000222501
C5_01020C_A		CAL0000183924	B9J08_002810		CAL0000222519
C6_03640W_A	NOG2	CAL0000182741	B9J08_000934		CAL0000222529
C4_05070C_A	ARG8	CAL0000177288	B9J08_005210		CAL0000222535
CR_05700C_A		CAL0000186518	B9J08_001694		CAL0000219957
CR_04010C_A	MRPL40	CAL0000185339	B9J08_001843		CAL0000219963
CR_05220C_A	GUT1	CAL0000201946	B9J08_004380		CAL0000219979
C1_03500W_A	YPT1	CAL0000185241	B9J08_003667		CAL0000220001
C1_06840C_A		CAL0000194611	B9J08_003389		CAL0000220009
C5_03250W_A	RMS1	CAL0000193221	B9J08_002936		CAL0000220017
C1_01800W_A		CAL0000175083	B9J08_004660		CAL0000222559
C1_04340C_A		CAL0000200078	B9J08_003373		CAL0000222561
C4_04600C_A		CAL0000178476	B9J08_001760		CAL0000222633
C1_03290W_A	NGG1	CAL0000183081	B9J08_000637		CAL0000222653
C7_00140C_A		CAL0000185284	B9J08_000897		CAL0000220043
C7_02930C_A		CAL0000182014	B9J08_001560		CAL0000220055
CR_00860C_A	TMA19	CAL0000181023	B9J08_002152		CAL0000220059
C6_01080C_A		CAL0000185118	B9J08_001119		CAL0000220713
C3_00380C_A		CAL0000180552	B9J08_004013		CAL0000222697
C1_13900C_A	LCB2	CAL0000186740	B9J08_005453		CAL0000222745
C3_06350W_A		CAL0000201522	B9J08_000647		CAL0000222749
C4_06190C_A	MPH1	CAL0000186482	B9J08_000907		CAL0000222761
C1_01530C_A		CAL0000176283	B9J08_001049		CAL0000221147
C1_10880W_A		CAL0000174108	B9J08_000257		CAL0000221151
C2_04090W_A		CAL0000179704	B9J08_004481		CAL0000221167
CR_07870W_A		CAL0000197180	B9J08_002833		CAL0000221173
C4_06070C_A	FMT1	CAL0000180588	B9J08_003353		CAL0000221183
C6_04530C_A		CAL0000188018	B9J08_001623		CAL0000222765
CR_10840C_A	XYL2	CAL0000192665	B9J08_002627		CAL0000222775
C1_07360W_A		CAL0000197796	B9J08_003158		CAL0000222785
C3_00840C_A		CAL0000201599	B9J08_002841		CAL0000222833
C4_01910W_A		CAL0000179943	B9J08_000762		CAL0000221213
C5_00690C_A	TFB3	CAL0000198995	B9J08_002048		CAL0000221239
C1_05560W_A	RIB4	CAL0000184983	B9J08_004158		CAL0000221241
C6_02970C_A		CAL0000190889	B9J08_004865		CAL0000221249
C3_02820C_A	NSG2	CAL0000193708	B9J08_001203		CAL0000221261
C1_10460W_A		CAL0000184780	B9J08_003561		CAL0000221263
C1_08100W_A	DRG1	CAL0000193469	B9J08_004231		CAL0000221265
C1_10720C_A	MNN2	CAL0000190919	B9J08_001935		CAL0000221291
C6_01680C_A		CAL0000173959	B9J08_004531		CAL0000222869
C4_01390W_A	HAP3	CAL0000192077	B9J08_004457		CAL0000222881
C3_01490W_A	RPS7A	CAL0000199878	B9J08_000185		CAL0000222903
C1_05540C_A		CAL0000201639	B9J08_005090		CAL0000222909
C5_04420W_A		CAL0000192498	B9J08_004364		CAL0000222919
C4_05700W_A	ZCF5	CAL0000195192	B9J08_000939		CAL0000222957
C3_00690C_A	SWD1	CAL0000179517	B9J08_002859		CAL0000222961
C2_10550C_A	GCN1	CAL0000192579	B9J08_003589		CAL0000226919
C1_12240C_A		CAL0000183506	B9J08_003934		CAL0000226921
C1_08850C_A	AFG1	CAL0000193419	B9J08_004721		CAL0000226967
C1_02940C_A		CAL0000196986	B9J08_003255		CAL0000227003
C4_01120C_A		CAL0000185903	B9J08_000128		CAL0000227015
C1_04050C_A	MFALPHA	CAL0000200672	B9J08_000722		CAL0000227031
C2_04370W_A		CAL0000187875	B9J08_003725		CAL0000227053
C2_01920C_A		CAL0000177360	B9J08_004858		CAL0000227061
C6_03140C_A	MDL2	CAL0000176022	B9J08_003663		CAL0000227067
C4_00820W_A		CAL0000186281	B9J08_004427		CAL0000227091
C1_11490C_A	BTA1	CAL0000198004	B9J08_003841		CAL0000227103
